City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Lufilufi,WS,91.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
247,Merauke,ID,83.3,overcast clouds,-8.4667,140.3333,
249,Jacqueville,CI,80.55,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
250,Dali,CN,61.47,clear sky,25.7,100.1833,Dali Travelling With Hostel
251,Namibe,AO,70.81,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
253,Oslob,PH,84.24,broken clouds,9.5211,123.4315,Down South 118 Beach Resort
254,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
255,Boffa,GN,72.5,clear sky,10.1667,-14.0333,Hôtel Niara Belly
256,Inhambane,MZ,77.29,broken clouds,-23.865,35.3833,Oceano
258,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
259,Sinnamary,GF,77.9,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
264,Trincomalee,LK,79.66,broken clouds,8.5711,81.2335,Welcombe Hotel
267,Bac Lieu,VN,83.86,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
272,Vila Franca Do Campo,PT,61.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
273,Lazaro Cardenas,MX,77.61,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
274,High Rock,BS,73.42,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
275,Barabai,ID,80.83,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
277,Whitianga,NZ,67.73,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
281,Do Gonbadan,IR,68.09,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
282,Doka,SD,86.5,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
285,Camapua,BR,67.17,clear sky,-19.5314,-54.0439,Comercial Estrela
286,Jiblah,YE,61.77,scattered clouds,13.9216,44.1467,Tiger Tower Hotel
