City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
113,Avarua,CK,2022-04-16 00:55:15,-21.2078,-159.775,84.25,74,27,8.05,scattered clouds,0.0,0.0
114,Havre-Saint-Pierre,CA,2022-04-16 00:55:15,50.2334,-63.5986,32.36,100,100,9.22,overcast clouds,0.0,0.0
115,Port Shepstone,ZA,2022-04-16 00:55:15,-30.7414,30.455,64.87,85,100,17.2,light rain,0.0,0.0
116,Ossora,RU,2022-04-16 00:55:16,59.2353,163.0719,30.0,65,79,4.97,broken clouds,0.0,0.0
117,Novovasylivka,UA,2022-04-16 00:55:16,46.8315,35.7536,45.48,95,8,5.68,clear sky,0.0,0.0
118,Ponta Delgada,PT,2022-04-16 00:55:17,37.7333,-25.6667,61.52,88,20,4.61,few clouds,0.0,0.0
119,Luderitz,NA,2022-04-16 00:55:17,-26.6481,15.1594,57.85,67,0,13.58,clear sky,0.0,0.0
120,Cidreira,BR,2022-04-16 00:55:17,-30.1811,-50.2056,64.29,67,100,6.17,overcast clouds,0.0,0.0
121,Baykit,RU,2022-04-16 00:55:18,61.67,96.37,36.72,99,100,2.37,overcast clouds,0.0,0.0
122,Kingston,JM,2022-04-16 00:50:24,17.997,-76.7936,81.55,71,20,20.71,few clouds,0.0,0.0
123,Dingle,PH,2022-04-16 00:55:18,10.9995,122.6711,82.99,72,15,3.89,few clouds,0.0,0.0
124,Havre,FR,2022-04-16 00:55:18,49.5833,0.3333,51.57,82,28,4.61,scattered clouds,0.0,0.0
125,Tuktoyaktuk,CA,2022-04-16 00:55:19,69.4541,-133.0374,-5.8,71,20,4.61,few clouds,0.0,0.0
126,Newport,GB,2022-04-16 00:54:46,51.5877,-2.9984,53.64,87,4,3.02,clear sky,0.0,0.0
127,Verkhniy Lomov,RU,2022-04-16 00:55:19,53.4678,43.5511,39.47,73,79,5.5,broken clouds,0.0,0.0
